ClassID,ClassName,DeptID,Semester,Year,Strength,Courses,Advisor,ClassRepresentative
CL001,CSE-Sem1-A,CSE,1,2025,45,"C005,C013,C015,C018",T001,S001
CL002,CSE-Sem1-B,CSE,1,2025,44,"C005,C013,C015,C018",T003,S046
CL003,CSE-Sem3-A,CSE,3,2024,42,"C001,C017,C014,C019",T002,S091
CL004,CSE-Sem3-B,CSE,3,2024,40,"C001,C017,C014,C019",T004,S133
CL005,CSE-Sem5-A,CSE,5,2023,38,"C006,C007,C008",T001,S175
CL006,CSE-Sem5-B,CSE,5,2023,36,"C006,C007,C008",T003,S211
CL007,AI-Sem1-A,AI,1,2025,40,"C005,C013,C015,C018",T006,S247
CL008,AI-Sem1-B,AI,1,2025,38,"C005,C013,C015,C018",T007,S287
CL009,AI-Sem5-A,AI,5,2023,35,"C002,C009,C017",T006,S325
CL010,AI-Sem5-B,AI,5,2023,33,"C002,C009,C017",T012,S360
CL011,AI-Sem7-A,AI,7,2022,32,"C003,C004,C020",T007,S393
CL012,AI-Sem7-B,AI,7,2022,30,"C003,C004,C020",T012,S425
CL013,BDA-Sem1-A,BDA,1,2025,35,"C005,C013,C015,C018",T013,S455
CL014,BDA-Sem5-A,BDA,5,2023,32,"C009,C001,C017",T008,S490
CL015,BDA-Sem7-A,BDA,7,2022,28,"C010,C003,C020",T013,S522
CL016,CC-Sem1-A,CC,1,2025,30,"C005,C013,C015,C018",T014,S550
CL017,CC-Sem5-A,CC,5,2023,28,"C011,C007,C017",T015,S580
CL018,CC-Sem7-A,CC,7,2022,25,"C012,C023,C020",T014,S608
